Country,City_name,Area(square_km),Population(thousands),average_lunch,average_dinner,avg_lunch_USD,avg_supper_USD,standard_transit_fee,st_tr_fair_USD,time_from_Airport_to_Downtown,fare_from_A_to_D,A_to_D_USD
Romania,Bucharest,240,"1,717",70,250,15,94,5,1.14,25,,5
Georgia(EU),Tbilisi,504.3,"1,258.60",25,61,9.19,22.43,1,0.37,30,30,10
United States,New York,"1,223.60","8,804.20",,,12.5,22.5,2.9,2.9,60,,11.4
United States,Washington D.C.,177,689.5,,,15,25,2.25,2.25,45,,6
United States,Los Angeles,"1,290.60","3,898.70",,,15,25,1.75,1.75,45,,10
United States,San Francisco,600.7,874,,,16,20,2.15,2.15,30,,5.35
United States,Miami,145.23,459,,,17.5,25,,2.25,21,,3
United States,Hawaii,"16,638","1,446.10",,,20,25,3,3,30,,3
Canada,Montreal,364.7,"1,763",16,32.5,11.68,23.73,3.75,2.77,57,11,8.03
Canada,Vancouver,123.6,662.2,10,20,7.3,14.6,3.2,2.34,25,10,7.3
Canada,Toronto,631.1,"2,794.40",15,45,10.95,32.86,3.3,2.41,25,12.35,9.02
Mexico,Mexico City,"1,485","9,201",125,275,6,14,5,0.26,50,5,0.3
Mexico,Cancun,142.7,628.3,225,225,11,37.5,12,0.63,25,,24
Chile,Santiago,641,"6,269.40","10,000","28,500",11,28.75,"1,550",2,27.5,"19,000",25
Brazil,Rio de Janeiro,"1,221","6,211.20",30,225,5.46,40.96,7.9,1.44,25,85,15.48
Brazil,Sao Paulo,"1,521.20","11,895.60",40,75,7.28,13.65,5.2,0.95,45,5.2,0.95
Argentina,Bueno Aires,206,"3,121.70",,,12.5,25,757,0.65,50,"26,442",28
Australia,Sydney,"12,368","5,557.20",12.5,30,8.11,19.47,9.3,6.04,13,19.5,12.66
Australia,Perth,"6,418","2,309.30",22.5,40,14.6,25.96,3.5,2.27,19,5,3.24
Australia,Melbourne,"9,993","5,350.70",25,70,16.22,45.43,11,7.14,27.5,62.5,40.56
Australia,Brisbane,"15,842","2,780",22.5,60,14.6,38.94,0.5,0.32,20,16,10.38
New Zealand,Wellington,290,210,13,35,7.78,20.93,6,3.59,-,,
New Zealand,Auckland,605.7,"1,530.50",15,30,8.97,17.94,4,2.39,25,85,50.84
New Zealand,Christchurch,"1,426",412,15,32.5,8.97,19.44,3,1.79,30,8.5,5.08
Peru,Lima,"2,672","10,092",15,50,6.275,25.5,2.5,0.7,27.5,60,17.5
Peru,Cusco,385.1,428.5,,,7.5,20,0.8,0.25,-,-,-
